id,nombre,c_ojos,c_cabello,t_zapato,genero,tatuaje,tipo_tatuaje
2197,Sara,Marron Verdoso,Azul O Verde,40,Femenino,si,"Tatuaje Tribal, brazo izquierdo"
6446,Juan Carlos,Verde,Blanco,42,Masculino,no,no
5295,Greiskel,Negro,Negro,37,Mujer,no,no
4753,Eva,Negros,Negro,41,Mujer,si,Dragon multicolor pierna derecha
3709,Jorge,Verdes,Negro,45,Masculino,no,no
6696,Ana,Cafe,Cafe,38,Femenino,no,no
2711,Leydy Garcia,Marron Oscuro,Negro,38,Femenina,no,no
7663,Marisol,Verde,Rubio,39,Femenino,no,no
7253,Liliana,Marron,Marron Con Mechas,36,Mujer,no,no
7182,Alberto Diaz Esteban,Azul,Rubio,43,No Binario,no,no
5694,Zoraida Manzanares Jimenez,Marron,Castano Oscuro,38,No Gender,si,Dos lineas con dos pajaritas al final
2358,Nacyla Messaoud,,,,,,
5998,Yeny Garcia,,,,,,
,,,,,,,
